# result_score/GalaxyWater-CNN
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
 6.058 43.994 45.000 |  3.443  2.564  2.008  0.2535 0.3719 0.3897 0.4350 0.6833 0.7292 0.2708 0.4019 0.4228
 6.058 46.620 42.500 |  2.277  1.689  1.171  0.2169 0.3377 0.3599 0.4675 0.7650 0.8219 0.2582 0.4064 0.4335
 6.058 48.427 40.000 |  1.747  1.283  0.872  0.1905 0.3046 0.3275 0.4910 0.8138 0.8760 0.2458 0.3953 0.4242
 6.058 50.023 37.500 |  1.400  1.057  0.741  0.1705 0.2744 0.2941 0.5012 0.8323 0.8985 0.2305 0.3725 0.3996
 6.058 51.632 35.000 |  1.110  0.865  0.638  0.1521 0.2494 0.2706 0.5043 0.8476 0.9188 0.2143 0.3521 0.3816
 6.058 53.228 32.500 |  0.972  0.781  0.605  0.1393 0.2305 0.2512 0.5066 0.8572 0.9334 0.2016 0.3342 0.3639
 6.058 55.058 30.000 |  0.902  0.734  0.585  0.1252 0.2088 0.2280 0.5076 0.8616 0.9412 0.1867 0.3113 0.3400
 6.058 57.474 27.500 |  0.832  0.696  0.572  0.1132 0.1903 0.2079 0.5105 0.8714 0.9543 0.1730 0.2906 0.3177
 6.058 60.251 25.000 |  0.740  0.644  0.561  0.1011 0.1705 0.1872 0.5119 0.8763 0.9627 0.1587 0.2679 0.2942
 6.058 63.702 22.500 |  0.690  0.619  0.556  0.0878 0.1495 0.1649 0.5129 0.8785 0.9682 0.1422 0.2415 0.2664
 6.058 67.825 20.000 |  0.681  0.615  0.556  0.0769 0.1302 0.1439 0.5129 0.8794 0.9697 0.1276 0.2160 0.2388
 6.058 73.035 17.500 |  0.667  0.607  0.555  0.0666 0.1138 0.1261 0.5138 0.8818 0.9740 0.1132 0.1929 0.2138
 6.058 79.632 15.000 |  0.649  0.593  0.547  0.0572 0.0982 0.1091 0.5138 0.8845 0.9785 0.0995 0.1705 0.1894
 6.058 88.053 12.500 |  0.645  0.590  0.547  0.0478 0.0822 0.0917 0.5138 0.8845 0.9785 0.0850 0.1463 0.1630
 6.058 97.819 10.000 |  0.610  0.559  0.518  0.0407 0.0705 0.0793 0.5138 0.8845 0.9907 0.0737 0.1276 0.1434
 6.058 108.971  7.500 |  0.608  0.557  0.516  0.0350 0.0609 0.0683 0.5143 0.8855 0.9917 0.0642 0.1116 0.1252
 6.058 119.819  5.000 |  0.607  0.556  0.516  0.0308 0.0535 0.0603 0.5143 0.8855 0.9952 0.0570 0.0992 0.1116
 6.058 131.070  2.500 |  0.600  0.552  0.515  0.0276 0.0478 0.0539 0.5143 0.8855 0.9952 0.0514 0.0893 0.1005
 6.058 142.713  0.000 |  0.597  0.551  0.515  0.0247 0.0427 0.0481 0.5148 0.8865 0.9962 0.0463 0.0803 0.0904
#
#
