# result_score/WatGNN
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
 6.058 10.778 95.000 |  6.568  5.619  5.718  0.3379 0.3846 0.3979 0.3192 0.3856 0.4099 0.2619 0.3045 0.3174
 6.058 13.018 90.000 |  5.391  4.390  4.342  0.3122 0.3870 0.4032 0.3940 0.4991 0.5361 0.2886 0.3603 0.3788
 6.058 21.310 85.000 |  4.443  3.428  2.962  0.2926 0.3724 0.3921 0.4333 0.5642 0.6084 0.2972 0.3833 0.4054
 6.058 22.380 80.000 |  3.666  2.719  2.074  0.2860 0.3708 0.4044 0.4634 0.6146 0.6739 0.3049 0.4019 0.4374
 6.058 23.240 75.000 |  3.085  2.212  1.510  0.2651 0.3564 0.3924 0.4868 0.6600 0.7270 0.3049 0.4124 0.4518
 6.058 24.076 70.000 |  2.578  1.840  1.188  0.2542 0.3488 0.3823 0.5077 0.6945 0.7641 0.3056 0.4196 0.4590
 6.058 25.082 65.000 |  2.120  1.506  1.004  0.2372 0.3324 0.3693 0.5195 0.7163 0.7958 0.2966 0.4132 0.4575
 6.058 25.930 60.000 |  1.844  1.337  0.934  0.2229 0.3152 0.3525 0.5298 0.7356 0.8180 0.2871 0.4030 0.4488
 6.058 26.836 55.000 |  1.673  1.222  0.890  0.2042 0.2904 0.3247 0.5355 0.7446 0.8310 0.2724 0.3857 0.4303
 6.058 27.877 50.000 |  1.510  1.105  0.808  0.1893 0.2738 0.3073 0.5380 0.7542 0.8445 0.2586 0.3719 0.4168
 6.058 28.912 45.000 |  1.281  0.965  0.739  0.1782 0.2577 0.2897 0.5471 0.7711 0.8628 0.2501 0.3606 0.4045
 6.058 29.953 40.000 |  1.171  0.891  0.686  0.1687 0.2442 0.2762 0.5490 0.7759 0.8733 0.2414 0.3490 0.3940
 6.058 30.982 35.000 |  1.052  0.814  0.620  0.1586 0.2319 0.2636 0.5524 0.7825 0.8823 0.2313 0.3371 0.3820
 6.058 32.240 30.000 |  0.955  0.759  0.596  0.1513 0.2210 0.2508 0.5564 0.7895 0.8897 0.2233 0.3257 0.3688
 6.058 33.772 25.000 |  0.891  0.718  0.574  0.1399 0.2058 0.2352 0.5569 0.7934 0.8975 0.2105 0.3089 0.3520
 6.058 35.327 20.000 |  0.816  0.676  0.560  0.1303 0.1932 0.2224 0.5569 0.7995 0.9073 0.1994 0.2951 0.3383
 6.058 36.982 15.000 |  0.796  0.664  0.556  0.1228 0.1835 0.2115 0.5569 0.8010 0.9114 0.1901 0.2830 0.3252
 6.058 38.813 10.000 |  0.771  0.649  0.552  0.1165 0.1745 0.2025 0.5569 0.8031 0.9195 0.1821 0.2720 0.3147
 6.058 40.836  5.000 |  0.753  0.639  0.548  0.1076 0.1626 0.1899 0.5577 0.8058 0.9268 0.1710 0.2574 0.2997
 6.058 55.591  0.000 |  0.730  0.625  0.543  0.0658 0.1016 0.1194 0.5577 0.8150 0.9365 0.1133 0.1744 0.2043
#
#
