dataset,target_id,Ncryst
single protein,1byi_A,87
single protein,1c7k_A,34
single protein,1eb6_A,67
single protein,1g66_A,71
single protein,1ga6_A,121
single protein,1gci_A,98
single protein,1i1w_A,127
single protein,1ix9_A,100
single protein,1j0p_A,46
single protein,1jfb_A,184
single protein,1k4i_A,83
single protein,1lkk_A,36
single protein,1m40_A,116
single protein,1mc2_A,54
single protein,1mj5_A,129
single protein,1mn8_A,35
single protein,1muw_A,118
single protein,1nki_A,44
single protein,1nwz_A,40
single protein,1p1x_A,53
single protein,1rtq_A,108
single protein,1tqg_A,18
single protein,1tt8_A,70
single protein,1unq_A,44
single protein,1vyr_A,155
single protein,1x8q_A,82
single protein,2a6z_A,107
single protein,2bf6_A,183
single protein,2cws_A,94
single protein,2ddx_A,153
single protein,2fvy_A,111
single protein,2fwh_A,47
single protein,2gud_A,43
single protein,2h5c_A,70
single protein,2jfr_A,80
single protein,2jhf_A,121
single protein,2pnd_A,59
single protein,2pvb_A,38
single protein,2rbk_A,102
single protein,2v1m_A,73
single protein,2vb1_A,56
single protein,2vha_A,88
single protein,2vxn_A,94
single protein,2xod_A,29
single protein,2xom_A,59
single protein,2xu3_A,102
single protein,2y78_A,57
single protein,3agn_A,47
single protein,3aks_A,86
single protein,3bwh_A,74
single protein,3d1p_A,58
single protein,3dha_A,68
single protein,3e4g_A,86
single protein,3eo6_A,36
single protein,3f1l_A,87
single protein,3g46_A,56
single protein,3ip0_A,65
single protein,3jyo_A,112
single protein,3kff_A,74
single protein,3ks3_A,130
single protein,3l8w_A,92
single protein,3m5q_A,152
single protein,3noq_A,59
single protein,3ql9_A,54
single protein,3qpa_A,73
single protein,3qr7_A,20
single protein,3rwn_A,58
single protein,3soj_A,41
single protein,3vii_A,197
single protein,3vla_A,177
single protein,3vor_A,75
single protein,3wdn_A,37
single protein,3zuc_A,84
single protein,4a02_A,65
single protein,4a7u_A,52
single protein,4bj0_A,73
single protein,4ce8_A,52
single protein,4e3y_A,110
single protein,4g9s_A,81
single protein,4g9s_B,51
single protein,4ga2_A,43
single protein,4gnr_A,139
single protein,4iau_A,74
single protein,4kqp_A,99
single protein,4n1i_A,146
single protein,4nsv_A,122
single protein,4o6u_A,72
single protein,4psy_A,69
single protein,4u9h_S,101
single protein,4wee_A,43
single protein,7a3h_A,129
