#   prop      acc      cov     rmsd
   0.406   57.296   25.929   11.910
   1.000   54.811   54.811    6.902
   1.406   48.416   68.185    3.351
   2.000   39.962   79.925    1.669
   2.406   35.160   84.728    1.289
   3.000   29.817   89.452    0.862
   3.406   26.730   90.995    0.694
   4.000   23.246   92.978    0.509
   4.404   21.303   93.813    0.464
   4.995   18.984   94.816    0.417
   5.392   17.698   95.371    0.387
   5.965   16.099   95.944    0.358
   6.336   15.226   96.265    0.341
   6.883   14.097   96.635    0.316
   7.239   13.471   96.925    0.303
   7.771   12.599   96.925    0.290
   8.108   12.113   96.925    0.283
   8.611   11.476   97.014    0.266
   8.924   11.137   97.201    0.260
   9.399   10.675   97.513    0.253
   9.689   10.407   97.567    0.249
  10.145   10.016   97.567    0.242
  10.419    9.803   97.567    0.239
  10.855    9.490   97.567    0.235
  11.114    9.337   97.779    0.231
  11.527    9.085   97.779    0.228
  11.762    8.952   97.779    0.226
  12.153    8.747   97.779    0.223
  12.373    8.640   97.779    0.222
  12.743    8.489   98.046    0.218
  12.949    8.401   98.046    0.217
  13.299    8.260   98.046    0.215
  13.485    8.190   98.046    0.214
  13.818    8.072   98.046    0.212
  13.991    8.014   98.046    0.211
  14.309    7.928   98.313    0.209
  14.468    7.881   98.313    0.208
  14.766    7.795   98.313    0.207
  14.907    7.757   98.313    0.207
  15.186    7.685   98.313    0.206
  15.313    7.654   98.313    0.205
  15.581    7.591   98.313    0.204
  15.700    7.565   98.313    0.203
  15.955    7.511   98.313    0.202
  16.063    7.493   98.402    0.201
  16.303    7.446   98.402    0.201
  16.404    7.427   98.402    0.200
  16.637    7.386   98.402    0.200
  16.735    7.369   98.402    0.199
  16.961    7.332   98.402    0.199
