#   prop      acc      cov     rmsd
   0.501   17.017   10.666   11.371
   1.050   12.714   15.225    5.910
   1.554   10.140   17.170    3.790
   2.025    8.576   18.161    2.617
   2.490    7.392   18.662    1.957
   2.800    6.866   18.950    1.667
   3.098    6.390   18.999    1.424
   3.338    6.143   19.207    1.275
   3.530    5.965   19.338    1.180
   3.718    5.764   19.338    1.122
   3.841    5.663   19.364    1.095
   3.959    5.568   19.364    1.069
   4.049    5.511   19.385    1.054
   4.124    5.474   19.403    1.041
   4.193    5.434   19.403    1.030
   4.238    5.417   19.447    1.022
   4.283    5.397   19.447    1.018
   4.319    5.381   19.447    1.013
   4.347    5.370   19.447    1.010
   4.375    5.360   19.447    1.009
   4.391    5.354   19.447    1.006
   4.406    5.349   19.447    1.001
   4.420    5.346   19.447    1.000
   4.430    5.343   19.447    1.000
   4.442    5.341   19.447    0.995
   4.449    5.339   19.447    0.994
   4.456    5.338   19.447    0.990
   4.464    5.337   19.447    0.990
   4.469    5.336   19.447    0.989
   4.475    5.335   19.447    0.989
   4.478    5.335   19.447    0.989
   4.481    5.335   19.447    0.989
   4.486    5.334   19.447    0.989
   4.489    5.334   19.447    0.989
   4.493    5.334   19.447    0.989
   4.497    5.334   19.447    0.989
   4.500    5.333   19.447    0.989
   4.505    5.333   19.447    0.989
   4.508    5.333   19.447    0.989
   4.512    5.333   19.447    0.988
   4.516    5.333   19.447    0.988
   4.519    5.333   19.447    0.988
   4.523    5.332   19.447    0.988
   4.527    5.332   19.447    0.988
   4.531    5.332   19.447    0.988
   4.534    5.332   19.447    0.988
   4.537    5.332   19.447    0.988
   4.540    5.332   19.447    0.988
   4.542    5.332   19.447    0.988
   4.545    5.332   19.447    0.988
