# wkgb/2vxn_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
  94 | 10.231  6.370  4.212  0.1702 0.3191 0.3830   0.689
 188 |  3.300  2.258  1.006  0.2872 0.5000 0.6170   0.693
 282 |  2.338  1.506  0.706  0.3191 0.6170 0.7553   0.683
 376 |  1.818  1.212  0.671  0.3298 0.6596 0.8298   0.685
 470 |  1.593  1.065  0.657  0.3511 0.6915 0.8723   0.678
 564 |  1.398  0.958  0.649  0.3511 0.7128 0.9043   0.686
 658 |  1.210  0.890  0.649  0.3511 0.7128 0.9149   0.702
 752 |  1.107  0.849  0.649  0.3511 0.7128 0.9255   0.709
 846 |  0.982  0.793  0.639  0.3617 0.7234 0.9362   0.716
 940 |  0.970  0.784  0.639  0.3617 0.7340 0.9468   0.707
1034 |  0.951  0.778  0.639  0.3617 0.7340 0.9468   0.707
1128 |  0.892  0.749  0.639  0.3617 0.7447 0.9574   0.704
1222 |  0.892  0.749  0.639  0.3617 0.7447 0.9574   0.704
1316 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
1410 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
1504 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
1598 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
1692 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
1786 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
1880 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
1974 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2068 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2162 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2256 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2350 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2444 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2538 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2632 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2726 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2820 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
2914 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3008 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3102 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3196 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3290 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3384 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3478 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3572 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3666 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3760 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3854 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
3948 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
4042 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
4136 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
4230 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
4324 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
4418 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
4512 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
4606 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
1644 |  0.840  0.721  0.610  0.3723 0.7553 0.9681   0.699
#
