# wkgb/4gnr_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
 139 |  9.112  5.523  2.098  0.2014 0.3885 0.4892   0.672
 278 |  2.907  1.894  0.813  0.2806 0.5540 0.6763   0.718
 417 |  1.809  1.206  0.705  0.3381 0.6547 0.8058   0.678
 556 |  1.483  1.007  0.660  0.3525 0.6906 0.8633   0.694
 695 |  1.078  0.810  0.633  0.3669 0.7194 0.9353   0.714
 834 |  0.941  0.754  0.633  0.3669 0.7338 0.9640   0.705
 973 |  0.828  0.713  0.633  0.3669 0.7482 0.9784   0.697
1112 |  0.816  0.709  0.633  0.3669 0.7482 0.9784   0.696
1251 |  0.800  0.703  0.633  0.3669 0.7482 0.9784   0.703
1390 |  0.800  0.703  0.633  0.3669 0.7482 0.9784   0.703
1529 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
1668 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
1807 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
1946 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
2085 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
2224 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
2363 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
2502 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
2641 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
2780 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
2919 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
3058 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
3197 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
3336 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
3475 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
3614 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
3753 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
3892 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
4031 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
4170 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
4309 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
4448 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
4587 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
4726 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
4865 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
5004 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
5143 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
5282 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
5421 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
5560 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
5699 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
5838 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
5977 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
6116 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
6255 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
6394 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
6533 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
6672 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
6811 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
2210 |  0.789  0.696  0.633  0.3669 0.7554 0.9856   0.696
#
