# result_score/GalaxyWater-wKGB
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
    82     16 20.000 |  9.173  8.599 10.000  0.3794 0.5934 0.7000 0.0595 0.1018 0.1188 0.0987 0.1676 0.1959
    82     21 19.000 |  8.920  8.201  9.999  0.3356 0.5470 0.6451 0.0747 0.1270 0.1489 0.1185 0.2003 0.2350
    82     27 18.000 |  8.605  7.720  9.881  0.3053 0.5230 0.6160 0.0916 0.1588 0.1866 0.1370 0.2367 0.2784
    82     36 17.000 |  8.207  7.121  9.465  0.2775 0.4821 0.5716 0.1129 0.1969 0.2322 0.1566 0.2729 0.3222
    82     47 16.000 |  7.878  6.507  8.114  0.2565 0.4482 0.5286 0.1389 0.2427 0.2851 0.1764 0.3081 0.3624
    82     61 15.000 |  7.758  5.904  5.732  0.2357 0.4155 0.4918 0.1691 0.2978 0.3509 0.1933 0.3407 0.4018
    82     79 14.000 |  7.956  5.442  3.609  0.2067 0.3797 0.4506 0.1941 0.3547 0.4198 0.1976 0.3621 0.4287
    82    102 13.000 |  6.751  4.378  2.205  0.1836 0.3454 0.4099 0.2237 0.4184 0.4961 0.1996 0.3744 0.4441
    82    131 12.000 |  4.847  3.132  1.368  0.1591 0.3048 0.3642 0.2515 0.4795 0.5716 0.1932 0.3694 0.4409
    82    167 11.000 |  3.431  2.221  0.994  0.1394 0.2708 0.3234 0.2816 0.5443 0.6494 0.1852 0.3591 0.4287
    82    209 10.000 |  2.632  1.703  0.802  0.1188 0.2364 0.2822 0.3026 0.5992 0.7152 0.1697 0.3372 0.4025
    82    265  9.000 |  2.021  1.332  0.723  0.0996 0.2004 0.2397 0.3248 0.6503 0.7773 0.1518 0.3049 0.3647
    82    338  8.000 |  1.547  1.061  0.674  0.0827 0.1684 0.2022 0.3458 0.7005 0.8398 0.1329 0.2704 0.3245
    82    432  7.000 |  1.203  0.878  0.642  0.0670 0.1390 0.1672 0.3605 0.7434 0.8926 0.1125 0.2333 0.2805
    82    552  6.000 |  0.981  0.770  0.626  0.0535 0.1124 0.1358 0.3705 0.7722 0.9315 0.0931 0.1955 0.2361
    82    700  5.000 |  0.860  0.718  0.617  0.0426 0.0903 0.1093 0.3757 0.7892 0.9533 0.0763 0.1615 0.1955
    82    894  4.000 |  0.808  0.694  0.614  0.0336 0.0718 0.0868 0.3780 0.8014 0.9674 0.0615 0.1313 0.1588
    82   1149  3.000 |  0.778  0.681  0.613  0.0262 0.0562 0.0679 0.3792 0.8078 0.9739 0.0488 0.1048 0.1266
    82   1512  2.000 |  0.766  0.675  0.612  0.0199 0.0429 0.0519 0.3795 0.8109 0.9786 0.0377 0.0813 0.0982
    82   1514  1.000 |  0.766  0.675  0.612  0.0199 0.0428 0.0518 0.3795 0.8109 0.9786 0.0377 0.0812 0.0981
    82   1514  0.000 |  0.766  0.675  0.612  0.0199 0.0428 0.0518 0.3795 0.8109 0.9786 0.0377 0.0812 0.0981
#
#
