# watGNN/2fwh_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
  47 |  7.463  4.649  1.235  0.4043 0.4681 0.5319   0.433
  94 |  2.921  1.632  0.458  0.5106 0.6383 0.7660   0.565
 141 |  2.042  1.143  0.444  0.5532 0.6809 0.8511   0.582
 188 |  1.446  0.830  0.425  0.5745 0.7234 0.9149   0.563
 235 |  1.234  0.742  0.425  0.5745 0.7234 0.9362   0.577
 282 |  0.968  0.663  0.425  0.5745 0.7660 0.9574   0.544
 329 |  0.765  0.595  0.425  0.5745 0.7872 0.9787   0.554
 376 |  0.765  0.595  0.425  0.5745 0.7872 0.9787   0.554
 423 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 470 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 517 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 564 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 611 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 658 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 705 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 752 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 799 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 846 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 893 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 940 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 987 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1034 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1081 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1128 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1175 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1222 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1269 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1316 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1363 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1410 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1457 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1504 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1551 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1598 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1645 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1692 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1739 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1786 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1833 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1880 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1927 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
1974 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
2021 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
2068 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
2115 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
2162 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
2209 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
2256 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
2303 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
 569 |  0.689  0.563  0.425  0.5745 0.8085 1.0000   0.563
#
