# 3drism/2cws_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
  94 |  8.615  4.984  2.110  0.2340 0.4043 0.4681   0.619
 188 |  2.435  1.690  0.993  0.2979 0.5106 0.6277   0.721
 282 |  1.601  1.168  0.778  0.3404 0.6170 0.7447   0.720
 376 |  1.275  0.968  0.648  0.3511 0.6809 0.8191   0.692
 470 |  1.258  0.950  0.648  0.3511 0.7021 0.8298   0.671
 564 |  1.117  0.884  0.648  0.3511 0.7128 0.8511   0.681
 658 |  1.094  0.865  0.635  0.3617 0.7234 0.8617   0.678
 752 |  1.077  0.852  0.635  0.3617 0.7340 0.8723   0.681
 846 |  1.077  0.852  0.635  0.3617 0.7340 0.8723   0.681
 940 |  1.077  0.852  0.635  0.3617 0.7340 0.8723   0.680
1034 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1128 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1222 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1316 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1410 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1504 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1598 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1692 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1786 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1880 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1974 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2068 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2162 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2256 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2350 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2444 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2538 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2632 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2726 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2820 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
2914 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3008 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3102 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3196 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3290 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3384 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3478 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3572 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3666 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3760 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3854 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
3948 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
4042 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
4136 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
4230 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
4324 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
4418 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
4512 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
4606 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
1118 |  1.054  0.835  0.635  0.3617 0.7447 0.8830   0.680
#
