# result_score/GalaxyWater-CNN
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
    82    158 45.000 |  3.277  1.996  0.689  0.2209 0.3432 0.3691 0.4229 0.6567 0.7066 0.2881 0.4476 0.4814
    82    222 42.500 |  2.186  1.314  0.595  0.1691 0.2716 0.2957 0.4582 0.7356 0.8018 0.2455 0.3942 0.4293
    82    286 40.000 |  1.651  1.020  0.570  0.1360 0.2227 0.2442 0.4775 0.7821 0.8583 0.2105 0.3448 0.3782
    82    354 37.500 |  1.332  0.864  0.543  0.1115 0.1857 0.2054 0.4857 0.8090 0.8950 0.1805 0.3006 0.3325
    82    426 35.000 |  1.141  0.769  0.513  0.0937 0.1576 0.1752 0.4922 0.8287 0.9217 0.1567 0.2636 0.2931
    82    506 32.500 |  0.985  0.702  0.507  0.0797 0.1349 0.1506 0.4979 0.8433 0.9414 0.1369 0.2316 0.2585
    82    598 30.000 |  0.885  0.659  0.504  0.0676 0.1152 0.1290 0.4998 0.8533 0.9551 0.1187 0.2022 0.2264
    82    704 27.500 |  0.799  0.627  0.503  0.0575 0.0986 0.1106 0.5016 0.8618 0.9664 0.1029 0.1764 0.1978
    82    829 25.000 |  0.739  0.605  0.502  0.0489 0.0843 0.0947 0.5026 0.8676 0.9749 0.0889 0.1531 0.1720
    82    982 22.500 |  0.689  0.587  0.501  0.0414 0.0716 0.0805 0.5037 0.8744 0.9833 0.0763 0.1319 0.1484
    82   1173 20.000 |  0.667  0.577  0.501  0.0347 0.0601 0.0678 0.5042 0.8784 0.9891 0.0647 0.1122 0.1265
    82   1404 17.500 |  0.658  0.574  0.500  0.0289 0.0502 0.0567 0.5043 0.8797 0.9921 0.0546 0.0948 0.1070
    82   1683 15.000 |  0.653  0.572  0.500  0.0241 0.0419 0.0473 0.5044 0.8808 0.9938 0.0459 0.0798 0.0901
    82   2006 12.500 |  0.648  0.570  0.500  0.0203 0.0352 0.0397 0.5047 0.8814 0.9952 0.0389 0.0675 0.0763
    82   2363 10.000 |  0.648  0.570  0.500  0.0172 0.0299 0.0337 0.5047 0.8814 0.9953 0.0332 0.0577 0.0652
    82   2749  7.500 |  0.648  0.569  0.500  0.0148 0.0257 0.0290 0.5047 0.8814 0.9954 0.0287 0.0498 0.0563
    82   3183  5.000 |  0.647  0.569  0.500  0.0128 0.0222 0.0251 0.5047 0.8816 0.9957 0.0249 0.0432 0.0489
    82   3775  2.500 |  0.647  0.569  0.500  0.0108 0.0187 0.0212 0.5047 0.8817 0.9959 0.0211 0.0366 0.0414
    82   4522  0.000 |  0.647  0.569  0.500  0.0090 0.0156 0.0177 0.5047 0.8817 0.9960 0.0177 0.0307 0.0347
#
#
