# result_score/WatGNN
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
 6.058 11.883 95.000 |  6.531  5.598  5.715  0.3366 0.3808 0.3942 0.3194 0.3850 0.4117 0.2604 0.3005 0.3136
 6.058 14.140 90.000 |  5.373  4.381  4.344  0.3116 0.3843 0.4006 0.3935 0.4976 0.5369 0.2874 0.3566 0.3754
 6.058 25.146 85.000 |  4.470  3.458  3.013  0.2925 0.3706 0.3906 0.4335 0.5635 0.6080 0.2961 0.3793 0.4018
 6.058 26.257 80.000 |  3.661  2.719  2.078  0.2846 0.3675 0.4010 0.4636 0.6150 0.6747 0.3031 0.3975 0.4331
 6.058 27.135 75.000 |  3.090  2.217  1.516  0.2640 0.3535 0.3884 0.4870 0.6605 0.7263 0.3031 0.4081 0.4462
 6.058 27.977 70.000 |  2.578  1.840  1.187  0.2527 0.3459 0.3784 0.5080 0.6964 0.7649 0.3035 0.4156 0.4540
 6.058 28.942 65.000 |  2.189  1.539  1.015  0.2356 0.3299 0.3660 0.5186 0.7170 0.7954 0.2942 0.4094 0.4528
 6.058 29.784 60.000 |  1.851  1.342  0.938  0.2222 0.3130 0.3489 0.5301 0.7363 0.8162 0.2857 0.3995 0.4434
 6.058 30.673 55.000 |  1.684  1.230  0.895  0.2037 0.2880 0.3217 0.5357 0.7441 0.8295 0.2713 0.3819 0.4257
 6.058 31.713 50.000 |  1.516  1.110  0.819  0.1885 0.2716 0.3041 0.5375 0.7542 0.8422 0.2571 0.3684 0.4119
 6.058 32.778 45.000 |  1.291  0.972  0.744  0.1774 0.2552 0.2863 0.5473 0.7711 0.8606 0.2487 0.3569 0.3994
 6.058 33.819 40.000 |  1.175  0.894  0.690  0.1674 0.2415 0.2727 0.5493 0.7766 0.8717 0.2395 0.3451 0.3888
 6.058 34.883 35.000 |  1.054  0.817  0.624  0.1573 0.2292 0.2605 0.5526 0.7833 0.8819 0.2294 0.3330 0.3775
 6.058 36.135 30.000 |  0.958  0.761  0.600  0.1500 0.2183 0.2478 0.5567 0.7902 0.8893 0.2215 0.3217 0.3645
 6.058 37.713 25.000 |  0.895  0.722  0.578  0.1390 0.2036 0.2324 0.5572 0.7942 0.8959 0.2089 0.3054 0.3476
 6.058 39.275 20.000 |  0.819  0.678  0.565  0.1290 0.1907 0.2195 0.5572 0.8002 0.9069 0.1974 0.2913 0.3340
 6.058 41.029 15.000 |  0.798  0.666  0.561  0.1213 0.1806 0.2083 0.5572 0.8017 0.9110 0.1879 0.2787 0.3204
 6.058 42.918 10.000 |  0.773  0.651  0.557  0.1152 0.1720 0.1997 0.5572 0.8038 0.9191 0.1800 0.2681 0.3103
 6.058 45.117  5.000 |  0.755  0.641  0.552  0.1057 0.1595 0.1863 0.5579 0.8065 0.9253 0.1683 0.2528 0.2943
 6.058 64.404  0.000 |  0.733  0.628  0.547  0.0626 0.0968 0.1141 0.5579 0.8157 0.9350 0.1079 0.1663 0.1954
#
#
