1byi_A      25.6250308
1c7k_A      17.9639487
1eb6_A      20.6110840
1g66_A      20.5830309
1ga6_A      31.1387744
1gci_A      23.5940318
1i1w_A      29.6027822
1ix9_A      22.9451871
1j0p_A      16.5172257
1jfb_A      42.4192700
1k4i_A      24.5913193
1lkk_A      15.3205519
1m40_A      28.4460368
1mc2_A      16.4945958
1mj5_A      29.7491689
1mn8_A      12.6458626
1muw_A      46.3735938
1nki_A      20.5122993
1nwz_A      16.8806763
1p1x_A      25.2407637
1rtq_A      26.7967162
1tqg_A      13.7938361
1tt8_A      19.7877865
1unq_A      18.6702926
1vyr_A      34.4745572
1x8q_A      21.9841104
2a6z_A      24.3355868
2bf6_A      43.0098741
2cws_A      23.2686412
2ddx_A      31.0996921
2fvy_A      31.3939846
2fwh_A      17.0433056
2gud_A      18.1308148
2h5c_A      20.5915689
2jfr_A      24.5233777
2jhf_A      38.9307339
2pnd_A      18.5043702
2pvb_A      13.8686733
2rbk_A      26.2987649
2v1m_A      19.7590201
2vb1_A      15.9188647
2vha_A      28.7449589
2vxn_A      25.6017992
2xod_A      16.6984408
2xom_A      18.5981939
2xu3_A      24.2912068
2y78_A      17.5791678
3agn_A      16.6290832
3aks_A      20.6917756
3bwh_A      26.4059582
3d1p_A      17.0087948
3dha_A      27.4414246
3e4g_A      22.1889639
3eo6_A      16.8205655
3f1l_A      26.7373500
3g46_A      19.2951481
3ip0_A      20.1763229
3jyo_A      30.1507671
3kff_A      20.0033617
3ks3_A      26.9256208
3l8w_A      42.8274200
3m5q_A      34.7642040
3noq_A      24.9795330
3ql9_A      18.3800023
3qpa_A      20.6355209
3qr7_A      28.6083751
3rwn_A      20.4120958
3soj_A      14.9507563
3vii_A      44.3815746
3vla_A      41.1133418
3vor_A      19.3387825
3wdn_A      16.1563551
3zuc_A      19.0601428
4a02_A      19.6431339
4a7u_A      18.7744224
4bj0_A      19.5741320
4ce8_A      15.3008223
4e3y_A      24.5977111
4g9s_A      22.0950599
4g9s_B      17.8749945
4ga2_A      22.8561277
4gnr_A      33.2705591
4iau_A      19.2480793
4kqp_A      25.7205615
4n1i_A      28.9917500
4nsv_A      24.3627005
4o6u_A      20.6777487
4psy_A      20.5561535
4tkb_A      18.5731335
4u9h_S      30.6258478
4wee_A      19.7588739
7a3h_A      27.6331294
