   224     4.046
   132     4.198
   177     7.570
   207     4.517
   369     8.865
   269     9.834
   303     8.877
   205     7.715
   108     7.460
   399     8.872
   216     5.464
   105     3.286
   263     7.238
   122     4.037
   297     7.856
    95     1.861
   386    11.580
   134     3.386
   125     2.006
   250     5.235
   291    12.820
   105     1.170
   164     1.793
   117     2.288
   363    12.603
   184     6.158
   222     2.462
   448    15.210
   227     7.060
   324     7.064
   305     4.193
   117     1.829
   121     1.838
   198     2.533
   234     4.633
   374    12.981
   119     3.192
   107     1.655
   261     5.549
   163     4.584
   129     2.101
   276     8.161
   249     5.500
   118     1.562
   145     2.784
   220     7.656
   122     1.861
   114     3.191
   190     4.739
   244     2.925
   120     2.952
   254    14.973
   176     5.463
   106     2.551
   245     3.767
   146     1.434
   158     2.439
   282     7.669
   152     5.566
   257    12.261
   295     8.697
   357    10.213
   227     5.066
   125     3.758
   197     2.514
   115     1.452
   155     2.001
   114     3.459
   472    22.472
   413     9.082
   182     1.843
   125     1.599
   153     3.957
   166     4.480
   153     7.775
   166     2.769
   114     1.043
   240    10.012
   187     7.249
   111     2.756
   144     1.574
   348     6.649
   161     3.041
   230     3.468
   312    12.564
   264    17.502
   182     4.896
   159     2.926
   133     5.097
   265     6.929
   135     2.997
   300    11.562
