#   prop      acc      cov     rmsd
   0.507   51.195   37.470   10.929
   1.081   46.517   63.357    5.521
   1.651   39.388   76.065    3.396
   2.225   34.122   83.943    2.288
   2.865   28.940   88.177    1.435
   3.370   26.039   90.843    1.061
   3.942   23.131   92.843    0.813
   4.509   20.780   94.209    0.632
   5.076   18.839   95.176    0.491
   5.706   16.966   95.938    0.392
   6.205   15.807   96.765    0.343
   6.767   14.562   96.958    0.306
   7.322   13.543   97.298    0.279
   7.874   12.643   97.517    0.263
   8.475   11.762   97.711    0.240
   8.941   11.170   97.834    0.230
   9.459   10.566   97.975    0.218
   9.963   10.021   98.063    0.209
  10.470    9.547   98.195    0.202
  11.016    9.053   98.260    0.195
  11.435    8.714   98.282    0.191
  11.902    8.368   98.736    0.186
  12.352    8.059   98.909    0.182
  12.788    7.792   99.011    0.177
  13.255    7.494   99.011    0.173
  13.610    7.294   99.026    0.170
  13.992    7.083   99.026    0.168
  14.350    6.894   99.037    0.165
  14.697    6.739   99.162    0.162
  15.067    6.562   99.181    0.157
  15.342    6.439   99.207    0.155
  15.649    6.309   99.219    0.153
  15.941    6.187   99.219    0.151
  16.213    6.079   99.219    0.150
  16.500    5.971   99.241    0.148
  16.710    5.894   99.241    0.147
  16.940    5.812   99.241    0.146
  17.154    5.736   99.241    0.145
  17.362    5.667   99.241    0.144
  17.587    5.594   99.241    0.143
  17.750    5.544   99.241    0.142
  17.932    5.492   99.263    0.141
  18.105    5.441   99.263    0.140
  18.272    5.404   99.384    0.139
  18.449    5.355   99.384    0.139
  18.573    5.323   99.401    0.138
  18.708    5.288   99.401    0.138
  18.834    5.255   99.401    0.137
  18.955    5.226   99.401    0.137
  19.088    5.195   99.401    0.136
