#   prop      acc      cov     rmsd
   0.406   56.262   25.416   11.910
   1.000   52.497   52.497    6.902
   1.406   46.153   65.009    3.351
   2.000   38.136   76.273    1.669
   2.406   33.474   80.706    1.289
   3.000   28.444   85.333    0.862
   3.406   25.421   86.557    0.694
   4.000   22.120   88.475    0.509
   4.404   20.277   89.314    0.464
   4.995   18.087   90.351    0.417
   5.392   16.837   90.763    0.387
   5.965   15.287   91.138    0.358
   6.336   14.445   91.392    0.341
   6.883   13.387   91.819    0.316
   7.239   12.772   91.964    0.303
   7.771   11.983   92.248    0.290
   8.108   11.519   92.248    0.283
   8.611   10.917   92.337    0.266
   8.924   10.583   92.417    0.260
   9.399   10.149   92.729    0.253
   9.689    9.894   92.783    0.249
  10.145    9.525   92.783    0.242
  10.419    9.334   92.916    0.239
  10.855    9.038   92.916    0.235
  11.114    8.886   93.039    0.231
  11.527    8.648   93.039    0.228
  11.762    8.521   93.039    0.226
  12.153    8.328   93.039    0.223
  12.373    8.226   93.039    0.222
  12.743    8.084   93.306    0.218
  12.949    8.000   93.306    0.217
  13.299    7.875   93.440    0.215
  13.485    7.808   93.440    0.214
  13.818    7.696   93.440    0.212
  13.991    7.640   93.440    0.211
  14.309    7.545   93.440    0.209
  14.468    7.499   93.440    0.208
  14.766    7.419   93.440    0.207
  14.907    7.383   93.440    0.207
  15.186    7.315   93.440    0.206
  15.313    7.286   93.440    0.205
  15.581    7.240   93.707    0.204
  15.700    7.215   93.707    0.203
  15.955    7.176   93.975    0.202
  16.063    7.159   94.064    0.201
  16.303    7.115   94.064    0.201
  16.404    7.097   94.064    0.200
  16.637    7.058   94.064    0.200
  16.735    7.042   94.064    0.199
  16.961    7.007   94.064    0.199
