#   prop      acc      cov     rmsd
   0.406   53.924   24.310   11.910
   1.000   49.174   49.174    6.902
   1.406   42.317   59.489    3.351
   2.000   34.486   68.972    1.669
   2.406   29.962   72.081    1.289
   3.000   25.285   75.856    0.862
   3.406   22.593   76.778    0.694
   4.000   19.529   78.113    0.509
   4.404   17.885   78.656    0.464
   4.995   15.923   79.536    0.417
   5.392   14.826   79.815    0.387
   5.965   13.437   80.114    0.358
   6.336   12.698   80.301    0.341
   6.883   11.739   80.589    0.316
   7.239   11.193   80.623    0.303
   7.771   10.472   80.750    0.290
   8.108   10.069   80.750    0.283
   8.611    9.530   80.839    0.266
   8.924    9.235   80.866    0.260
   9.399    8.848   81.178    0.253
   9.689    8.621   81.178    0.249
  10.145    8.288   81.178    0.242
  10.419    8.111   81.178    0.239
  10.855    7.844   81.178    0.235
  11.114    7.710   81.267    0.231
  11.527    7.495   81.267    0.228
  11.762    7.389   81.320    0.226
  12.153    7.214   81.320    0.223
  12.373    7.124   81.320    0.222
  12.743    6.980   81.320    0.218
  12.949    6.907   81.320    0.217
  13.299    6.795   81.454    0.215
  13.485    6.737   81.454    0.214
  13.818    6.636   81.454    0.212
  13.991    6.587   81.454    0.211
  14.309    6.500   81.454    0.209
  14.468    6.460   81.454    0.208
  14.766    6.387   81.454    0.207
  14.907    6.354   81.454    0.207
  15.186    6.293   81.454    0.206
  15.313    6.266   81.454    0.205
  15.581    6.212   81.454    0.204
  15.700    6.190   81.454    0.203
  15.955    6.143   81.454    0.202
  16.063    6.129   81.543    0.201
  16.303    6.089   81.543    0.201
  16.404    6.073   81.543    0.200
  16.637    6.038   81.570    0.200
  16.735    6.024   81.570    0.199
  16.961    5.992   81.570    0.199
