# newset_log
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
   182    182 -1.000 | 11.109  5.740  1.219  0.4023 0.5196 0.5572 0.4023 0.5196 0.5572 0.4023 0.5196 0.5572
   182    364 -1.000 |  2.781  1.611  0.593  0.2368 0.3293 0.3676 0.4735 0.6585 0.7353 0.3157 0.4390 0.4902
   182    546 -1.000 |  1.751  1.081  0.537  0.1644 0.2358 0.2690 0.4931 0.7073 0.8070 0.2465 0.3537 0.4035
   182    728 -1.000 |  1.378  0.902  0.521  0.1251 0.1821 0.2102 0.5002 0.7284 0.8406 0.2001 0.2913 0.3363
   182    910 -1.000 |  1.215  0.827  0.515  0.1006 0.1477 0.1714 0.5032 0.7383 0.8571 0.1677 0.2461 0.2857
   182   1092 -1.000 |  1.141  0.795  0.512  0.0841 0.1239 0.1443 0.5045 0.7431 0.8657 0.1441 0.2123 0.2473
   182   1274 -1.000 |  1.103  0.778  0.511  0.0722 0.1065 0.1243 0.5051 0.7457 0.8704 0.1263 0.1864 0.2176
   182   1456 -1.000 |  1.084  0.770  0.510  0.0632 0.0934 0.1091 0.5054 0.7472 0.8731 0.1123 0.1660 0.1940
   182   1638 -1.000 |  1.075  0.766  0.510  0.0562 0.0831 0.0972 0.5056 0.7479 0.8744 0.1011 0.1496 0.1749
   182   1820 -1.000 |  1.070  0.763  0.510  0.0506 0.0748 0.0875 0.5057 0.7483 0.8752 0.0919 0.1361 0.1591
   182   2002 -1.000 |  1.068  0.762  0.509  0.0460 0.0680 0.0796 0.5057 0.7485 0.8756 0.0843 0.1248 0.1459
   182   2184 -1.000 |  1.066  0.761  0.509  0.0421 0.0624 0.0730 0.5058 0.7487 0.8759 0.0778 0.1152 0.1348
   182   2367 -1.000 |  1.065  0.761  0.509  0.0389 0.0576 0.0674 0.5058 0.7487 0.8760 0.0723 0.1070 0.1251
   182   2549 -1.000 |  1.065  0.761  0.509  0.0361 0.0535 0.0626 0.5058 0.7487 0.8761 0.0674 0.0998 0.1168
   182   2731 -1.000 |  1.065  0.761  0.509  0.0337 0.0499 0.0584 0.5058 0.7487 0.8761 0.0632 0.0936 0.1095
   182   2913 -1.000 |  1.065  0.761  0.509  0.0316 0.0468 0.0548 0.5058 0.7488 0.8761 0.0595 0.0881 0.1031
   182   3095 -1.000 |  1.064  0.761  0.509  0.0298 0.0440 0.0515 0.5058 0.7488 0.8761 0.0562 0.0832 0.0973
   182   3277 -1.000 |  1.064  0.761  0.509  0.0281 0.0416 0.0487 0.5058 0.7488 0.8761 0.0532 0.0788 0.0922
   182   3459 -1.000 |  1.064  0.761  0.509  0.0266 0.0394 0.0461 0.5058 0.7488 0.8761 0.0506 0.0749 0.0876
   182   3641 -1.000 |  1.064  0.761  0.509  0.0253 0.0374 0.0438 0.5058 0.7488 0.8761 0.0482 0.0713 0.0834
   182   3823 -1.000 |  1.064  0.760  0.509  0.0241 0.0357 0.0417 0.5058 0.7488 0.8761 0.0460 0.0681 0.0796
   182   4005 -1.000 |  1.064  0.760  0.509  0.0230 0.0340 0.0398 0.5058 0.7488 0.8761 0.0440 0.0651 0.0762
   182   4187 -1.000 |  1.064  0.760  0.509  0.0220 0.0326 0.0381 0.5058 0.7488 0.8762 0.0421 0.0624 0.0730
   182   4369 -1.000 |  1.064  0.760  0.509  0.0211 0.0312 0.0365 0.5058 0.7488 0.8762 0.0405 0.0599 0.0701
   182   4552 -1.000 |  1.064  0.760  0.509  0.0202 0.0300 0.0350 0.5058 0.7488 0.8762 0.0389 0.0576 0.0674
   182   4734 -1.000 |  1.064  0.760  0.509  0.0195 0.0288 0.0337 0.5058 0.7488 0.8762 0.0375 0.0555 0.0649
   182   4916 -1.000 |  1.064  0.760  0.509  0.0187 0.0277 0.0325 0.5058 0.7488 0.8762 0.0361 0.0535 0.0626
   182   5098 -1.000 |  1.064  0.760  0.509  0.0181 0.0267 0.0313 0.5058 0.7488 0.8762 0.0349 0.0516 0.0604
   182   5280 -1.000 |  1.064  0.760  0.509  0.0174 0.0258 0.0302 0.5058 0.7488 0.8762 0.0337 0.0499 0.0584
   182   5462 -1.000 |  1.064  0.760  0.509  0.0169 0.0250 0.0292 0.5058 0.7489 0.8763 0.0326 0.0483 0.0565
   182   5644 -1.000 |  1.064  0.760  0.509  0.0163 0.0242 0.0283 0.5058 0.7489 0.8763 0.0316 0.0468 0.0548
   182   5826 -1.000 |  1.064  0.760  0.509  0.0158 0.0234 0.0274 0.5058 0.7489 0.8763 0.0307 0.0454 0.0531
   182   6008 -1.000 |  1.064  0.760  0.509  0.0153 0.0227 0.0266 0.5058 0.7489 0.8763 0.0298 0.0441 0.0515
   182   6190 -1.000 |  1.064  0.760  0.509  0.0149 0.0220 0.0258 0.5058 0.7489 0.8763 0.0289 0.0428 0.0501
   182   6372 -1.000 |  1.064  0.760  0.509  0.0145 0.0214 0.0250 0.5058 0.7489 0.8763 0.0281 0.0416 0.0487
   182   6554 -1.000 |  1.064  0.760  0.509  0.0140 0.0208 0.0243 0.5058 0.7489 0.8763 0.0273 0.0405 0.0474
   182   6737 -1.000 |  1.064  0.760  0.509  0.0137 0.0202 0.0237 0.5058 0.7489 0.8763 0.0266 0.0394 0.0461
   182   6919 -1.000 |  1.064  0.760  0.509  0.0133 0.0197 0.0231 0.5058 0.7489 0.8763 0.0259 0.0384 0.0449
   182   7101 -1.000 |  1.064  0.760  0.509  0.0130 0.0192 0.0225 0.5058 0.7489 0.8763 0.0253 0.0374 0.0438
   182   7283 -1.000 |  1.064  0.760  0.509  0.0126 0.0187 0.0219 0.5058 0.7489 0.8763 0.0247 0.0365 0.0427
   182   7465 -1.000 |  1.064  0.760  0.509  0.0123 0.0183 0.0214 0.5058 0.7489 0.8763 0.0241 0.0357 0.0417
   182   7647 -1.000 |  1.064  0.760  0.509  0.0120 0.0178 0.0209 0.5058 0.7489 0.8763 0.0235 0.0348 0.0408
   182   7829 -1.000 |  1.064  0.760  0.509  0.0118 0.0174 0.0204 0.5058 0.7489 0.8763 0.0230 0.0340 0.0398
   182   8011 -1.000 |  1.064  0.760  0.509  0.0115 0.0170 0.0199 0.5058 0.7489 0.8763 0.0225 0.0333 0.0389
   182   8193 -1.000 |  1.064  0.760  0.509  0.0112 0.0166 0.0195 0.5058 0.7489 0.8763 0.0220 0.0326 0.0381
   182   8375 -1.000 |  1.064  0.760  0.509  0.0110 0.0163 0.0190 0.5058 0.7489 0.8763 0.0215 0.0319 0.0373
   182   8557 -1.000 |  1.064  0.760  0.509  0.0108 0.0159 0.0186 0.5058 0.7489 0.8763 0.0211 0.0312 0.0365
   182   8739 -1.000 |  1.064  0.760  0.509  0.0105 0.0156 0.0183 0.5058 0.7489 0.8763 0.0206 0.0306 0.0358
