dataset,target_id,Ncryst
training,1A3A_A,184
training,1A73_A,173
training,1ABA_A,41
training,1AL3_A,112
training,1AOH_A,162
training,1AOL_A,158
training,1BDO_A,42
training,1BHE_A,277
training,1BKR_A,155
training,1BRT_A,207
training,1BU8_A,228
training,1BYF_A,67
training,1BYR_A,130
training,1C0P_A,352
training,1C1D_A,290
training,1C1K_A,272
training,1C4Q_A,37
training,1C75_A,80
training,1C8U_A,156
training,1CC8_A,100
training,1CJW_A,162
training,1CQ3_A,135
training,1CRU_A,433
training,1CSB_B,186
training,1CY5_A,52
training,1D0Q_A,61
training,1D2N_A,99
training,1D4T_A,130
training,1D5T_A,345
training,1D8W_A,307
training,1DBW_A,58
training,1DC1_A,191
training,1DD9_A,147
training,1DFU_P,68
training,1DOW_A,170
training,1DS1_A,316
training,1DZF_A,140
training,1E0C_A,215
training,1E29_A,83
training,1E58_A,365
training,1E5K_A,118
training,1E6U_A,112
training,1E7L_A,108
training,1E9G_A,396
training,1EAJ_A,77
training,1EG3_A,111
training,1EI5_A,264
training,1EKQ_A,111
training,1ELU_A,287
training,1EOK_A,259
training,1EUV_A,134
training,1EWF_A,216
training,1EZW_A,142
training,1F32_A,103
training,1F46_A,171
training,1F9V_A,216
training,1FN9_A,375
training,1FSG_A,341
training,1FTR_A,140
training,1FYE_A,162
training,1G12_A,124
training,1G3P_A,205
training,1G60_A,116
training,1G6G_A,153
training,1G8M_A,381
training,1GHE_A,67
training,1GK9_B,550
training,1GL2_C,71
training,1GMI_A,52
training,1GMU_A,113
training,1GMX_A,58
training,1GO3_E,98
training,1GO3_F,77
training,1GOI_A,284
training,1GP0_A,115
training,1GP6_A,289
training,1GPJ_A,197
training,1GQE_A,226
training,1GSA_A,128
training,1GV9_A,169
training,1GXY_A,257
training,1H12_A,344
training,1H6F_A,166
training,1H6K_X,32
training,1H70_A,141
training,1H72_C,123
training,1HE1_A,77
training,1HH8_A,157
training,1HP1_A,624
training,1HQS_A,244
training,1HXR_A,77
training,1HYP_A,38
training,1HZT_A,117
training,1I2T_A,51
training,1I58_A,83
training,1I8A_A,154
training,1IOM_A,386
training,1IQ4_A,72
training,1IT2_A,134
training,1IZC_A,269
training,1J27_A,111
training,1J2R_A,260
training,1J5U_A,74
training,1J98_A,134
training,1JB7_A,203
training,1JBW_A,284
training,1JET_A,381
training,1JF8_A,157
training,1JHD_A,329
training,1JHJ_A,83
training,1JID_A,94
training,1JIW_I,99
training,1JKE_A,75
training,1JKG_A,56
training,1JNI_A,36
training,1JO0_A,69
training,1JOV_A,108
training,1JP4_A,281
training,1JR2_A,113
training,1JU2_A,602
training,1JUB_A,285
training,1JUH_A,288
training,1JW9_B,91
training,1JYA_A,42
training,1JYH_A,160
training,1JYK_A,139
training,1K3X_A,285
training,1K7K_A,250
training,1K8K_D,147
training,1K8K_F,133
training,1KAF_A,101
training,1KDG_A,549
training,1KFW_A,364
training,1KGD_A,74
training,1KGS_A,163
training,1KJQ_A,343
training,1KKO_A,459
training,1KPT_A,57
training,1KQ1_A,52
training,1KQ6_A,38
training,1KRH_A,260
training,1KVE_B,44
training,1KYF_A,156
training,1KZQ_A,172
training,1L7A_A,254
training,1L8R_A,92
training,1L9L_A,66
training,1L9X_A,215
training,1LC0_A,356
training,1LF7_A,179
training,1LLM_C,88
training,1LO7_A,104
training,1LQV_A,111
training,1LSL_A,56
training,1LWB_A,123
training,1M0W_A,294
training,1M2D_A,70
training,1M55_A,241
training,1M65_A,182
training,1M6S_A,256
training,1M9Z_A,145
training,1MBA_A,77
training,1MBM_A,92
training,1MGQ_A,38
training,1MIX_A,146
training,1MK4_A,152
training,1MOQ_A,178
training,1MPX_A,537
training,1MS9_A,546
training,1MTZ_A,174
training,1MUS_A,193
training,1MV8_A,280
training,1MW9_X,263
training,1N12_A,74
training,1N3L_A,148
training,1N57_A,316
training,1N71_A,83
training,1N7S_C,54
training,1N7Z_A,127
training,1N9P_A,124
training,1NC7_A,103
training,1NJK_A,73
training,1NKD_A,76
training,1NLF_A,265
training,1NLQ_A,77
training,1NNH_A,144
training,1NQZ_A,100
training,1NTH_A,250
training,1NUU_A,96
training,1NUY_A,127
training,1NXU_A,241
training,1NYK_A,130
training,1NZ0_A,89
training,1NZJ_A,283
training,1NZY_A,212
training,1O1Z_A,279
training,1O4Y_A,332
training,1O50_A,84
training,1O69_A,169
training,1O6A_A,42
training,1O7I_A,137
training,1O8X_A,159
training,1O97_C,183
training,1O9I_A,331
training,1OA8_A,82
training,1OEY_A,29
training,1OF8_A,347
training,1OH4_A,134
training,1OI0_A,43
training,1OI2_A,237
training,1OI7_A,377
training,1ON2_A,69
training,1ONW_A,166
training,1OQ1_A,232
training,1ORU_A,144
training,1OSY_A,57
training,1OU8_A,90
training,1OYG_A,338
training,1P1J_A,389
training,1P5Z_B,94
training,1P6O_A,169
training,1PBY_A,452
training,1PBY_B,332
training,1PKH_A,124
training,1PKO_A,92
training,1PSR_A,133
training,1PVG_A,129
training,1PXZ_A,253
training,1PYO_B,92
training,1Q6O_A,226
training,1Q6Z_A,557
training,1Q7L_A,245
training,1Q9U_A,74
training,1QAZ_A,151
training,1QCX_A,159
training,1QD1_A,256
training,1QDB_A,190
training,1QKS_A,733
training,1QNA_A,90
training,1QNR_A,321
training,1QQ5_A,148
training,1QQP_1,115
training,1QQP_4,22
training,1QS1_A,321
training,1QSA_A,564
training,1QST_A,87
training,1QWG_A,184
training,1QWR_A,188
training,1R0U_A,121
training,1R26_A,102
training,1R45_A,259
training,1R4X_A,223
training,1R5M_A,271
training,1R62_A,72
training,1R6D_A,218
training,1R6W_A,292
training,1R7J_A,127
training,1RGX_A,39
training,1RJD_A,307
training,1RK8_C,17
training,1RLI_A,63
training,1RP0_A,199
training,1RTT_A,145
training,1RWZ_A,154
training,1RYL_A,110
training,1RYO_A,495
training,1S12_A,38
training,1S21_A,68
training,1S2O_A,310
training,1S99_A,114
training,1S9R_A,459
training,1S9U_A,206
training,1SAU_A,148
training,1SBX_A,76
training,1SBY_A,303
training,1SFS_A,305
training,1SFU_A,28
training,1SGM_A,105
training,1SGW_A,95
training,1SH8_A,155
training,1SHU_X,136
training,1SJW_A,111
training,1SJY_A,91
training,1SKZ_A,69
training,1SQG_A,342
training,1SQS_A,233
training,1STM_A,57
training,1SX5_A,165
training,1SZH_A,83
training,1T1U_A,342
training,1T2W_A,54
training,1T61_A,134
training,1T6C_A,260
training,1T6T_1,94
training,1TBF_A,230
training,1TS9_A,53
training,1TUA_A,89
training,1TUK_A,53
training,1TX4_A,193
training,1TZP_A,300
training,1U53_A,177
training,1U5U_A,240
training,1U84_A,96
training,1UCD_A,197
training,1UCR_A,92
training,1UFI_A,33
training,1UIX_A,65
training,1UJP_A,270
training,1UKF_A,174
training,1UNN_C,59
training,1UPK_A,165
training,1URS_A,220
training,1USC_A,205
training,1UT7_A,78
training,1UX6_A,162
training,1UXO_A,199
training,1UXY_A,168
training,1UZK_A,102
training,1V4P_A,143
training,1V5I_B,66
training,1V5V_A,271
