#   prop      acc      cov     rmsd
   0.507   30.239   22.347   10.929
   1.081   27.341   37.286    5.521
   1.651   22.432   43.084    3.396
   2.225   19.229   47.046    2.288
   2.865   16.021   48.875    1.435
   3.370   14.094   49.553    1.061
   3.942   12.360   50.201    0.813
   4.509   10.981   50.493    0.632
   5.076    9.921   50.912    0.491
   5.706    8.878   51.228    0.392
   6.205    8.201   51.389    0.343
   6.767    7.516   51.404    0.306
   7.322    6.945   51.404    0.279
   7.874    6.476   51.488    0.263
   8.475    6.002   51.503    0.240
   8.941    5.691   51.518    0.230
   9.459    5.381   51.561    0.218
   9.963    5.107   51.606    0.209
  10.470    4.852   51.606    0.202
  11.016    4.596   51.606    0.195
  11.435    4.424   51.606    0.191
  11.902    4.243   51.606    0.186
  12.352    4.084   51.606    0.182
  12.788    3.940   51.606    0.177
  13.255    3.793   51.606    0.173
  13.610    3.694   51.606    0.170
  13.992    3.591   51.606    0.168
  14.350    3.499   51.606    0.165
  14.697    3.419   51.630    0.162
  15.067    3.331   51.630    0.157
  15.342    3.272   51.630    0.155
  15.649    3.207   51.630    0.153
  15.941    3.149   51.630    0.151
  16.213    3.098   51.630    0.150
  16.500    3.049   51.653    0.148
  16.710    3.013   51.653    0.147
  16.940    2.974   51.653    0.146
  17.154    2.939   51.653    0.145
  17.362    2.906   51.653    0.144
  17.587    2.871   51.653    0.143
  17.750    2.847   51.653    0.142
  17.932    2.821   51.653    0.141
  18.105    2.796   51.653    0.140
  18.272    2.774   51.653    0.139
  18.449    2.750   51.653    0.139
  18.573    2.734   51.653    0.138
  18.708    2.717   51.653    0.138
  18.834    2.702   51.653    0.137
  18.955    2.688   51.653    0.137
  19.088    2.673   51.653    0.136
