#   prop      acc      cov     rmsd
   0.501   40.928   26.380   11.371
   1.050   33.831   43.008    5.910
   1.554   30.015   54.140    3.790
   2.025   27.045   61.348    2.617
   2.490   24.192   64.999    1.957
   2.800   22.734   66.773    1.667
   3.098   21.619   68.387    1.424
   3.338   20.848   69.467    1.275
   3.530   20.297   70.368    1.180
   3.718   19.831   71.616    1.122
   3.841   19.514   72.009    1.095
   3.959   19.200   72.182    1.069
   4.049   19.021   72.359    1.054
   4.124   18.895   72.530    1.041
   4.193   18.759   72.634    1.030
   4.238   18.702   72.806    1.022
   4.283   18.636   72.912    1.018
   4.319   18.582   73.028    1.013
   4.347   18.549   73.084    1.010
   4.375   18.505   73.084    1.009
   4.391   18.489   73.119    1.006
   4.406   18.475   73.160    1.001
   4.420   18.462   73.177    1.000
   4.430   18.450   73.177    1.000
   4.442   18.439   73.177    0.995
   4.449   18.432   73.177    0.994
   4.456   18.430   73.266    0.990
   4.464   18.423   73.266    0.990
   4.469   18.423   73.288    0.989
   4.475   18.420   73.288    0.989
   4.478   18.418   73.288    0.989
   4.481   18.419   73.305    0.989
   4.486   18.418   73.305    0.989
   4.489   18.416   73.305    0.989
   4.493   18.415   73.305    0.989
   4.497   18.414   73.305    0.989
   4.500   18.412   73.305    0.989
   4.505   18.411   73.305    0.989
   4.508   18.410   73.305    0.989
   4.512   18.409   73.305    0.988
   4.516   18.410   73.322    0.988
   4.519   18.409   73.322    0.988
   4.523   18.408   73.322    0.988
   4.527   18.407   73.322    0.988
   4.531   18.406   73.322    0.988
   4.534   18.405   73.322    0.988
   4.537   18.405   73.322    0.988
   4.540   18.404   73.322    0.988
   4.542   18.404   73.322    0.988
   4.545   18.403   73.322    0.988
