#   prop      acc      cov     rmsd
   0.507   48.280   35.603   10.929
   1.081   43.430   59.513    5.521
   1.651   36.409   70.762    3.396
   2.225   31.276   77.427    2.288
   2.865   26.313   80.846    1.435
   3.370   23.636   82.898    1.061
   3.942   20.878   84.275    0.813
   4.509   18.685   85.238    0.632
   5.076   16.891   85.959    0.491
   5.706   15.213   86.670    0.392
   6.205   14.138   87.088    0.343
   6.767   13.001   87.195    0.306
   7.322   12.064   87.427    0.279
   7.874   11.260   87.609    0.263
   8.475   10.460   87.720    0.240
   8.941    9.923   87.776    0.230
   9.459    9.377   87.873    0.218
   9.963    8.897   87.961    0.209
  10.470    8.474   88.049    0.202
  11.016    8.026   88.049    0.195
  11.435    7.726   88.071    0.191
  11.902    7.414   88.205    0.186
  12.352    7.140   88.244    0.182
  12.788    6.897   88.345    0.177
  13.255    6.636   88.345    0.173
  13.610    6.457   88.345    0.170
  13.992    6.271   88.345    0.168
  14.350    6.105   88.356    0.165
  14.697    5.965   88.449    0.162
  15.067    5.811   88.468    0.157
  15.342    5.703   88.495    0.155
  15.649    5.586   88.495    0.153
  15.941    5.479   88.495    0.151
  16.213    5.385   88.495    0.150
  16.500    5.291   88.517    0.148
  16.710    5.224   88.517    0.147
  16.940    5.153   88.517    0.146
  17.154    5.087   88.517    0.145
  17.362    5.027   88.517    0.144
  17.587    4.962   88.517    0.143
  17.750    4.918   88.517    0.142
  17.932    4.871   88.517    0.141
  18.105    4.826   88.517    0.140
  18.272    4.790   88.564    0.139
  18.449    4.747   88.564    0.139
  18.573    4.717   88.564    0.138
  18.708    4.686   88.564    0.138
  18.834    4.658   88.564    0.137
  18.955    4.632   88.564    0.137
  19.088    4.604   88.564    0.136
