#   prop      acc      cov     rmsd
   0.507   52.688   38.695   10.929
   1.081   47.766   65.175    5.521
   1.651   40.365   78.019    3.396
   2.225   34.734   85.282    2.288
   2.865   29.593   89.745    1.435
   3.370   26.658   92.554    1.061
   3.942   23.687   94.584    0.813
   4.509   21.234   95.785    0.632
   5.076   19.209   96.629    0.491
   5.706   17.279   97.448    0.392
   6.205   16.084   97.968    0.343
   6.767   14.803   98.158    0.306
   7.322   13.746   98.395    0.279
   7.874   12.819   98.562    0.263
   8.475   11.920   98.981    0.240
   8.941   11.313   99.077    0.230
   9.459   10.695   99.159    0.218
   9.963   10.143   99.247    0.209
  10.470    9.650   99.296    0.202
  11.016    9.148   99.388    0.195
  11.435    8.800   99.388    0.191
  11.902    8.445   99.410    0.186
  12.352    8.137   99.476    0.182
  12.788    7.856   99.527    0.177
  13.255    7.556   99.527    0.173
  13.610    7.354   99.542    0.170
  13.992    7.141   99.542    0.168
  14.350    6.948   99.542    0.165
  14.697    6.786   99.626    0.162
  15.067    6.612   99.672    0.157
  15.342    6.488   99.699    0.155
  15.649    6.356   99.710    0.153
  15.941    6.236   99.733    0.151
  16.213    6.128   99.733    0.150
  16.500    6.018   99.755    0.148
  16.710    5.941   99.755    0.147
  16.940    5.858   99.755    0.146
  17.154    5.781   99.755    0.145
  17.362    5.711   99.755    0.144
  17.587    5.637   99.755    0.143
  17.750    5.587   99.755    0.142
  17.932    5.533   99.777    0.141
  18.105    5.482   99.777    0.140
  18.272    5.437   99.822    0.139
  18.449    5.387   99.822    0.139
  18.573    5.353   99.822    0.138
  18.708    5.318   99.822    0.138
  18.834    5.285   99.822    0.137
  18.955    5.255   99.822    0.137
  19.088    5.224   99.822    0.136
