   224     1.930
   132     2.319
   177     2.175
   207     1.148
   369     4.565
   269     1.620
   303     3.654
   205     1.233
   108     0.548
   399     5.241
   216     1.307
   105     0.574
   263     3.236
   122     0.716
   297     3.713
    95     0.488
   386     5.237
   134     0.720
   125     0.665
   250     1.473
   291     3.660
   105     0.557
   164     0.946
   117     0.662
   363     4.548
   184     1.095
   222     1.443
   448     7.076
   227     1.375
   324     4.103
   305     3.217
   117     0.608
   121     0.601
   198     1.154
   234     1.409
   374     4.338
   119     0.683
   107     0.533
   261     2.972
   163     0.977
   129     0.761
   276     3.439
   249     1.497
   118     0.651
   145     0.867
   220     1.384
   122     0.619
   114     0.621
   190     1.170
   244     1.464
   120     0.641
   254     3.055
   176     1.094
   106     0.537
   245     1.566
   146     0.763
   158     0.880
   282     2.956
   152     0.909
   257     3.108
   295     3.154
   357     4.129
   227     1.235
   125     0.753
   197     1.165
   115     1.521
   155     0.803
   114     0.609
   472     7.729
   413     5.356
   182     1.041
   125     0.679
   153     0.893
   166     0.973
   153     0.867
   166     0.923
   114     0.588
   240     1.509
   187     1.174
   111     0.622
   144     0.820
   348     4.110
   161     0.937
   230     1.412
   312     3.887
   264     1.738
   182     0.996
   159     0.923
   133     0.735
   265     2.839
   135     0.701
   300     3.894
