1byi_A time_leap:     0.135 time_solvent:    13.566 time_rism:   460.909 time_place:    13.435 time_total:   488.044
1c7k_A time_leap:     0.105 time_solvent:    11.955 time_rism:   156.234 time_place:     5.770 time_total:   174.064
1eb6_A time_leap:     0.117 time_solvent:    11.413 time_rism:   249.974 time_place:     7.851 time_total:   269.355
1g66_A time_leap:     0.121 time_solvent:    11.473 time_rism:   258.361 time_place:     7.143 time_total:   277.099
1ga6_A time_leap:     0.164 time_solvent:    11.527 time_rism:   614.903 time_place:    19.562 time_total:   646.156
1gci_A time_leap:     0.139 time_solvent:    13.781 time_rism:   345.678 time_place:    10.132 time_total:   369.730
1i1w_A time_leap:     0.156 time_solvent:    11.510 time_rism:   438.809 time_place:    13.652 time_total:   464.128
1ix9_A time_leap:     0.127 time_solvent:    11.529 time_rism:   320.625 time_place:    10.496 time_total:   342.777
1j0p_A time_leap:     0.102 time_solvent:    11.761 time_rism:   176.007 time_place:     6.105 time_total:   193.974
1jfb_A time_leap:     0.186 time_solvent:    11.261 time_rism:   656.438 time_place:    26.209 time_total:   694.093
1k4i_A time_leap:     0.131 time_solvent:    11.627 time_rism:   488.263 time_place:    14.959 time_total:   514.980
1lkk_A time_leap:     0.100 time_solvent:    11.255 time_rism:   186.822 time_place:     5.251 time_total:   203.428
1m40_A time_leap:     0.143 time_solvent:    11.697 time_rism:   464.171 time_place:    13.209 time_total:   489.220
1mc2_A time_leap:     0.103 time_solvent:    11.571 time_rism:   198.011 time_place:     6.001 time_total:   215.687
1mj5_A time_leap:     0.155 time_solvent:    11.211 time_rism:   509.951 time_place:    16.806 time_total:   538.123
1mn8_A time_leap:     0.097 time_solvent:    11.515 time_rism:   148.687 time_place:     4.017 time_total:   164.317
1muw_A time_leap:     0.181 time_solvent:    12.048 time_rism:  1069.328 time_place:    42.096 time_total:  1123.653
1nki_A time_leap:     0.108 time_solvent:    11.236 time_rism:   287.327 time_place:    10.392 time_total:   309.062
1nwz_A time_leap:     0.107 time_solvent:    11.365 time_rism:   212.981 time_place:     5.667 time_total:   230.120
1p1x_A time_leap:     0.137 time_solvent:    11.463 time_rism:   434.206 time_place:    12.066 time_total:   457.871
1rtq_A time_leap:     0.147 time_solvent:    11.524 time_rism:   439.359 time_place:    12.942 time_total:   463.972
1tqg_A time_leap:     0.100 time_solvent:    11.591 time_rism:   182.955 time_place:     4.823 time_total:   199.469
1tt8_A time_leap:     0.119 time_solvent:    11.910 time_rism:   203.152 time_place:     6.715 time_total:   221.896
1unq_A time_leap:     0.104 time_solvent:    11.081 time_rism:   240.187 time_place:     7.868 time_total:   259.240
1vyr_A time_leap:     0.176 time_solvent:    13.006 time_rism:   597.612 time_place:    19.617 time_total:   630.411
1x8q_A time_leap:     0.122 time_solvent:    11.882 time_rism:   261.894 time_place:     8.551 time_total:   282.449
2a6z_A time_leap:     0.134 time_solvent:    11.340 time_rism:   345.510 time_place:    11.790 time_total:   368.774
2bf6_A time_leap:     0.202 time_solvent:    11.438 time_rism:  1269.885 time_place:    33.994 time_total:  1315.518
2cws_A time_leap:     0.132 time_solvent:    11.640 time_rism:   312.668 time_place:     8.957 time_total:   333.397
2ddx_A time_leap:     0.162 time_solvent:    11.625 time_rism:   548.388 time_place:    18.093 time_total:   578.268
2fvy_A time_leap:     0.154 time_solvent:    12.054 time_rism:   576.803 time_place:    19.933 time_total:   608.944
2fwh_A time_leap:     0.104 time_solvent:    11.380 time_rism:   190.451 time_place:     5.903 time_total:   207.839
2gud_A time_leap:     0.102 time_solvent:    11.533 time_rism:   231.482 time_place:     8.275 time_total:   251.394
2h5c_A time_leap:     0.122 time_solvent:    11.638 time_rism:   325.255 time_place:     8.054 time_total:   345.069
2jfr_A time_leap:     0.133 time_solvent:    11.158 time_rism:   349.535 time_place:    11.427 time_total:   372.253
2jhf_A time_leap:     0.174 time_solvent:    11.641 time_rism:   856.294 time_place:    24.362 time_total:   892.471
2pnd_A time_leap:     0.104 time_solvent:    12.332 time_rism:   265.118 time_place:     8.061 time_total:   285.615
2pvb_A time_leap:     0.104 time_solvent:    11.753 time_rism:   155.964 time_place:     4.252 time_total:   172.072
2rbk_A time_leap:     0.144 time_solvent:    11.277 time_rism:   352.840 time_place:    11.734 time_total:   375.994
2v1m_A time_leap:     0.118 time_solvent:    11.629 time_rism:   274.427 time_place:     7.394 time_total:   293.568
2vb1_A time_leap:     0.104 time_solvent:    11.458 time_rism:   222.024 time_place:     6.004 time_total:   239.589
2vha_A time_leap:     0.154 time_solvent:    11.466 time_rism:   521.382 time_place:    18.055 time_total:   551.057
2vxn_A time_leap:     0.142 time_solvent:    11.981 time_rism:   331.005 time_place:    13.015 time_total:   356.143
2xod_A time_leap:     0.103 time_solvent:    11.575 time_rism:   213.222 time_place:     5.295 time_total:   230.195
2xom_A time_leap:     0.113 time_solvent:    11.885 time_rism:   239.359 time_place:     7.140 time_total:   258.497
2xu3_A time_leap:     0.135 time_solvent:    11.362 time_rism:   342.987 time_place:    10.961 time_total:   365.445
