1byi_A     4.046 
1c7k_A     4.198 
1eb6_A     7.570 
1g66_A     4.517 
1ga6_A     8.865 
1gci_A     9.834 
1i1w_A     8.877 
1ix9_A     7.715 
1j0p_A     7.460 
1jfb_A     8.872 
1k4i_A     5.464 
1lkk_A     3.286 
1m40_A     7.238 
1mc2_A     4.037 
1mj5_A     7.856 
1mn8_A     1.861 
1muw_A    11.580 
1nki_A     3.386 
1nwz_A     2.006 
1p1x_A     5.235 
1rtq_A    12.820 
1tqg_A     1.170 
1tt8_A     1.793 
1unq_A     2.288 
1vyr_A    12.603 
1x8q_A     6.158 
2a6z_A     2.462 
2bf6_A    15.210 
2cws_A     7.060 
2ddx_A     7.064 
2fvy_A     4.193 
2fwh_A     1.829 
2gud_A     1.838 
2h5c_A     2.533 
2jfr_A     4.633 
2jhf_A    12.981 
2pnd_A     3.192 
2pvb_A     1.655 
2rbk_A     5.549 
2v1m_A     4.584 
2vb1_A     2.101 
2vha_A     8.161 
2vxn_A     5.500 
2xod_A     1.562 
2xom_A     2.784 
2xu3_A     7.656 
2y78_A     1.861 
3agn_A     3.191 
3aks_A     4.739 
3bwh_A     2.925 
3d1p_A     2.952 
3dha_A    14.973 
3e4g_A     5.463 
3eo6_A     2.551 
3f1l_A     3.767 
3g46_A     1.434 
3ip0_A     2.439 
3jyo_A     7.669 
3kff_A     5.566 
3ks3_A    12.261 
3l8w_A     8.697 
3m5q_A    10.213 
3noq_A     5.066 
3ql9_A     3.758 
3qpa_A     2.514 
3qr7_A     1.452 
3rwn_A     2.001 
3soj_A     3.459 
3vii_A    22.472 
3vla_A     9.082 
3vor_A     1.843 
3wdn_A     1.599 
3zuc_A     3.957 
4a02_A     4.480 
4a7u_A     7.775 
4bj0_A     2.769 
4ce8_A     1.043 
4e3y_A    10.012 
4g9s_A     7.249 
4g9s_B     2.756 
4ga2_A     1.574 
4gnr_A     6.649 
4iau_A     3.041 
4kqp_A     3.468 
4n1i_A    12.564 
4nsv_A    17.502 
4o6u_A     4.896 
4psy_A     2.926 
4tkb_A     5.097 
4u9h_S     6.929 
4wee_A     2.997 
7a3h_A    11.562 
